hotel_id,name,location,phone,website,historic_area,price_range,accepted_payment,booking_restrictions,cancellation_restrictions,amenities
H0024,La Quinta Inn Savannah (I-95),"6 Gateway Blvd S (I‑95, exit 94 (SR 204/Abercorn St), just e)",(912)925‑9505,,,$55–$109 All Year,"AX, DS, MC, VI",,,"coin laundry, videogames (fee), voice mail, irons, hair dryers, high‑speed internet"
H0025,La Quinta Inn Savannah (Midtown),6805 Abercorn St (1 mi s of Jct SR 21 & 204 (Abercorn St)),(912)355‑3004,,,$59–$129 All Year,"AX, DS, MC, VI",,,"coin laundry, videogames (fee), voice mail, irons, hair dryers, high‑speed internet"
H0026,Microtel Inn & Suites,"45 Fort Argyle Rd (I‑95, exit 94 (SR 204/Abercorn St))",(912)920‑1920,,,$40–$90 All Year,"AX, DC, DS, MC, VI",,,"coin laundry, irons, hair dryers, voicemail, high‑speed internet"
H0027,Oglethorpe Inn & Suites,"7110 Hodgson Memorial Dr (Jct SR 21 & 204, 1.3 mi s, just e)",(912)354‑8560,,,$89–$195 All Year,"AX, DC, DS, MC, VI",,,"continental breakfast, coin laundry, meeting rooms, PC, voicemail, irons, hair dryers, high‑speed internet"
H0028,Ramada I‑95 Gateway,"17007 Abercorn St (I‑95, exit 94 (SR 204/Abercorn St), just e)",(912)925‑1212,,,$66–$125 All Year,"AX, DS, MC, VI",,,"voice mail, safes, irons, hair dryers"
H0029,Red Roof Inn,"405 Al Henderson Blvd (I‑95, exit 94 (SR 204/Abercorn St), just e)",(912)920‑3535,,,$45–$107 All Year,"AX, DC, DS, MC, VI",,,"coin laundry, PC, voicemail, irons, hair dryers"
H0030,Red Roof Inn Savannah Midtown,201 Stephenson Ave (1.1 mi s of Jct SR 21 & 204 (Abercorn St)),(912)355‑4100,,,$70–$110 All Year,"AX, CB, DC, DS, MC, VI",1-30 night minimum stay,Cancellation notice fee imposed.,"coin laundry, area transportation, meeting rooms, voice mail, irons, hair dryers"
H0031,Residence Inn by Marriott Savannah,"5710 White Bluff Rd (Jct SR 21, 0.5 mi s)",(912)356‑3266,,,$159–$169 All Year,"AX, CB, DC, DS, JC, MC, VI",,,"valet & coin laundry, area transportation, meeting rooms, PC, voice mail, irons, hair dryers, DVD players, high‑speed internet"
H0032,The Forsyth Park Inn,"102 W Hall St (Between Whitaker and Howard Sts, across from Forsyth Park)",(912)233-6800,,Savannah Historic District,$175–$275 All Year,"AX, DS, MC, VI",2-night minimum stay for weekends,14-day cancellation notice required,"Wireless Internet, Hair dryers, wireless Internet"
H0033,The Gastonian,220 E Gaston St (Between Abercorn and Lincoln Sts),(912)232-2869,,Savannah Historic District,$235–$435 All Year,"AX, DC, DS, MC, VI",2-night minimum stay for weekends. Age restrictions apply,10-day cancellation notice required,"Full breakfast and high-speed Internet, Wireless Internet, DVD players, CD players, irons, hair dryers"
